Date and Time, Depth (M), Oxygen Conc. (mg/L)
2024-06-21T10:15:14-0700, -10 m, 9.5430
2024-06-21T10:15:14-0700, -11 m, 9.3640
2024-06-21T10:15:14-0700, -12 m, 9.2420
2024-06-21T10:15:14-0700, -13 m, 9.1570
2024-06-21T10:15:14-0700, -14 m, 9.0840
2024-06-21T10:15:14-0700, -15 m, 8.9380
2024-06-21T10:15:14-0700, -16 m, 8.7740
2024-06-21T10:15:14-0700, -17 m, 8.7280
2024-06-21T10:15:14-0700, -18 m, 8.7250
2024-06-21T10:15:14-0700, -19 m, 8.7070
2024-06-21T10:15:14-0700, -20 m, 8.6740
2024-06-21T10:15:14-0700, -21 m, 8.6330
2024-06-21T10:15:14-0700, -22 m, 8.5640
2024-06-21T10:15:14-0700, -23 m, 8.3950
2024-06-21T10:15:14-0700, -24 m, 8.1940
2024-06-21T10:15:14-0700, -25 m, 8.1200
2024-06-21T10:15:14-0700, -26 m, 8.0610
2024-06-21T10:15:14-0700, -27 m, 8.0070
2024-06-21T10:15:14-0700, -28 m, 7.9780
2024-06-21T10:15:14-0700, -29 m, 7.9510
2024-06-21T10:15:14-0700, -30 m, 7.9180
2024-06-21T10:15:14-0700, -31 m, 7.9010
2024-06-21T10:15:14-0700, -32 m, 7.8960
2024-06-21T10:15:14-0700, -33 m, 7.8910
2024-06-21T10:15:14-0700, -34 m, 7.8430
2024-06-21T10:15:14-0700, -35 m, 7.7790
2024-06-21T10:15:14-0700, -36 m, 7.7010
2024-06-21T10:15:14-0700, -37 m, 7.5960
2024-06-21T10:15:14-0700, -38 m, 7.4830
2024-06-21T10:15:14-0700, -39 m, 7.4020
2024-06-21T10:15:14-0700, -40 m, 7.3280
2024-06-21T10:15:14-0700, -41 m, 7.2940
2024-06-21T10:15:14-0700, -42 m, 7.2820
2024-06-21T10:15:14-0700, -43 m, 7.2580
2024-06-21T10:15:14-0700, -44 m, 7.2280
2024-06-21T10:15:14-0700, -45 m, 7.1900
2024-06-21T10:15:14-0700, -46 m, 7.1660
2024-06-21T10:15:14-0700, -47 m, 7.1570
2024-06-21T10:15:14-0700, -48 m, 7.1540
2024-06-21T10:15:14-0700, -49 m, 7.1510
2024-06-21T10:15:14-0700, -50 m, 7.1180
2024-06-21T10:15:14-0700, -51 m, 7.1000
2024-06-21T10:15:14-0700, -52 m, 7.1050
2024-06-21T10:15:14-0700, -53 m, 7.1020
2024-06-21T10:15:14-0700, -54 m, 7.0970
2024-06-21T10:15:14-0700, -55 m, 7.0820
2024-06-21T10:15:14-0700, -56 m, 7.0710
2024-06-21T10:15:14-0700, -57 m, 7.0630
2024-06-21T10:15:14-0700, -58 m, 7.0480
2024-06-21T10:15:14-0700, -59 m, 7.0450
2024-06-21T10:15:14-0700, -5 m, 10.5130
2024-06-21T10:15:14-0700, -60 m, 7.0400
2024-06-21T10:15:14-0700, -61 m, 7.0300
2024-06-21T10:15:14-0700, -62 m, 7.0200
2024-06-21T10:15:14-0700, -63 m, 7.0080
2024-06-21T10:15:14-0700, -64 m, 6.9780
2024-06-21T10:15:14-0700, -65 m, 6.9320
2024-06-21T10:15:14-0700, -66 m, 6.8760
2024-06-21T10:15:14-0700, -67 m, 6.8240
2024-06-21T10:15:14-0700, -68 m, 6.7980
2024-06-21T10:15:14-0700, -69 m, 6.7910
2024-06-21T10:15:14-0700, -6 m, 10.5290
2024-06-21T10:15:14-0700, -70 m, 6.7850
2024-06-21T10:15:14-0700, -71 m, 6.7780
2024-06-21T10:15:14-0700, -72 m, 6.7720
