Date and Time, Depth (M), Water Density (kg/m³)
2024-06-21T10:15:14-0700, -10 m, 22.0990
2024-06-21T10:15:14-0700, -11 m, 22.1080
2024-06-21T10:15:14-0700, -12 m, 22.1410
2024-06-21T10:15:14-0700, -13 m, 22.1690
2024-06-21T10:15:14-0700, -14 m, 22.1920
2024-06-21T10:15:14-0700, -15 m, 22.2170
2024-06-21T10:15:14-0700, -16 m, 22.2860
2024-06-21T10:15:14-0700, -17 m, 22.3250
2024-06-21T10:15:14-0700, -18 m, 22.3700
2024-06-21T10:15:14-0700, -19 m, 22.3980
2024-06-21T10:15:14-0700, -20 m, 22.4090
2024-06-21T10:15:14-0700, -21 m, 22.4170
2024-06-21T10:15:14-0700, -22 m, 22.4290
2024-06-21T10:15:14-0700, -23 m, 22.4510
2024-06-21T10:15:14-0700, -24 m, 22.5160
2024-06-21T10:15:14-0700, -25 m, 22.5550
2024-06-21T10:15:14-0700, -26 m, 22.5640
2024-06-21T10:15:14-0700, -27 m, 22.5750
2024-06-21T10:15:14-0700, -28 m, 22.5860
2024-06-21T10:15:14-0700, -29 m, 22.5920
2024-06-21T10:15:14-0700, -30 m, 22.5990
2024-06-21T10:15:14-0700, -31 m, 22.6090
2024-06-21T10:15:14-0700, -32 m, 22.6110
2024-06-21T10:15:14-0700, -33 m, 22.6110
2024-06-21T10:15:14-0700, -34 m, 22.6140
2024-06-21T10:15:14-0700, -35 m, 22.6330
2024-06-21T10:15:14-0700, -36 m, 22.6520
2024-06-21T10:15:14-0700, -37 m, 22.6770
2024-06-21T10:15:14-0700, -38 m, 22.7190
2024-06-21T10:15:14-0700, -39 m, 22.7490
2024-06-21T10:15:14-0700, -40 m, 22.7720
2024-06-21T10:15:14-0700, -41 m, 22.7950
2024-06-21T10:15:14-0700, -42 m, 22.8000
2024-06-21T10:15:14-0700, -43 m, 22.8050
2024-06-21T10:15:14-0700, -44 m, 22.8180
2024-06-21T10:15:14-0700, -45 m, 22.8340
2024-06-21T10:15:14-0700, -46 m, 22.8510
2024-06-21T10:15:14-0700, -47 m, 22.8570
2024-06-21T10:15:14-0700, -48 m, 22.8580
2024-06-21T10:15:14-0700, -49 m, 22.8570
2024-06-21T10:15:14-0700, -50 m, 22.8630
2024-06-21T10:15:14-0700, -51 m, 22.8790
2024-06-21T10:15:14-0700, -52 m, 22.8780
2024-06-21T10:15:14-0700, -53 m, 22.8760
2024-06-21T10:15:14-0700, -54 m, 22.8780
2024-06-21T10:15:14-0700, -55 m, 22.8810
2024-06-21T10:15:14-0700, -56 m, 22.8890
2024-06-21T10:15:14-0700, -57 m, 22.8920
2024-06-21T10:15:14-0700, -58 m, 22.8950
2024-06-21T10:15:14-0700, -59 m, 22.8960
2024-06-21T10:15:14-0700, -5 m, 21.7320
2024-06-21T10:15:14-0700, -60 m, 22.8970
2024-06-21T10:15:14-0700, -61 m, 22.9010
2024-06-21T10:15:14-0700, -62 m, 22.9080
2024-06-21T10:15:14-0700, -63 m, 22.9120
2024-06-21T10:15:14-0700, -64 m, 22.9220
2024-06-21T10:15:14-0700, -65 m, 22.9470
2024-06-21T10:15:14-0700, -66 m, 22.9770
2024-06-21T10:15:14-0700, -67 m, 23.0050
2024-06-21T10:15:14-0700, -68 m, 23.0210
2024-06-21T10:15:14-0700, -69 m, 23.0260
2024-06-21T10:15:14-0700, -6 m, 21.7560
2024-06-21T10:15:14-0700, -70 m, 23.0330
2024-06-21T10:15:14-0700, -71 m, 23.0360
2024-06-21T10:15:14-0700, -72 m, 23.0410
2024-06-21T10:15:14-0700, -73 m, 23.0450
2024-06-21T10:15:14-0700, -74 m, 23.0460
2024-06-21T10:15:14-0700, -75 m, 23.0470
2024-06-21T10:15:14-0700, -76 m, 23.0490
2024-06-21T10:15:14-0700, -77 m, 23.0490
2024-06-21T10:15:14-0700, -78 m, 23.0500
2024-06-21T10:15:14-0700, -79 m, 23.0510
2024-06-21T10:15:14-0700, -7 m, 21.7760
2024-06-21T10:15:14-0700, -80 m, 23.0510
2024-06-21T10:15:14-0700, -8 m, 21.9580
2024-06-21T10:15:14-0700, -9 m, 22.0820
2024-06-21T12:00:13-0700, -10 m, 22.1450
2024-06-21T12:00:13-0700, -11 m, 22.1680
2024-06-21T12:00:13-0700, -12 m, 22.2220
2024-06-21T12:00:13-0700, -13 m, 22.2520
2024-06-21T12:00:13-0700, -14 m, 22.2580
2024-06-21T12:00:13-0700, -15 m, 22.2650
2024-06-21T12:00:13-0700, -16 m, 22.3150
2024-06-21T12:00:13-0700, -17 m, 22.3870
2024-06-21T12:00:13-0700, -18 m, 22.4380
2024-06-21T12:00:13-0700, -19 m, 22.4590
2024-06-21T12:00:13-0700, -20 m, 22.4770
2024-06-21T12:00:13-0700, -21 m, 22.5030
2024-06-21T12:00:13-0700, -22 m, 22.5070
2024-06-21T12:00:13-0700, -23 m, 22.5100
2024-06-21T12:00:13-0700, -24 m, 22.5160
2024-06-21T12:00:13-0700, -25 m, 22.5230
2024-06-21T12:00:13-0700, -26 m, 22.5280
2024-06-21T12:00:13-0700, -27 m, 22.5370
2024-06-21T12:00:13-0700, -28 m, 22.5530
