Date and Time, Depth (M), Water Temp. (°C)
2024-06-21T10:15:14-0700, -10 m, 12.3910
2024-06-21T10:15:14-0700, -11 m, 12.3810
2024-06-21T10:15:14-0700, -12 m, 12.2960
2024-06-21T10:15:14-0700, -13 m, 12.2310
2024-06-21T10:15:14-0700, -14 m, 12.1820
2024-06-21T10:15:14-0700, -15 m, 12.1120
2024-06-21T10:15:14-0700, -16 m, 11.9600
2024-06-21T10:15:14-0700, -17 m, 11.8740
2024-06-21T10:15:14-0700, -18 m, 11.7630
2024-06-21T10:15:14-0700, -19 m, 11.6730
2024-06-21T10:15:14-0700, -20 m, 11.6440
2024-06-21T10:15:14-0700, -21 m, 11.6220
2024-06-21T10:15:14-0700, -22 m, 11.5940
2024-06-21T10:15:14-0700, -23 m, 11.5430
2024-06-21T10:15:14-0700, -24 m, 11.3940
2024-06-21T10:15:14-0700, -25 m, 11.2850
2024-06-21T10:15:14-0700, -26 m, 11.2570
2024-06-21T10:15:14-0700, -27 m, 11.2240
2024-06-21T10:15:14-0700, -28 m, 11.1950
2024-06-21T10:15:14-0700, -29 m, 11.1800
2024-06-21T10:15:14-0700, -30 m, 11.1640
2024-06-21T10:15:14-0700, -31 m, 11.1390
2024-06-21T10:15:14-0700, -32 m, 11.1320
2024-06-21T10:15:14-0700, -33 m, 11.1310
2024-06-21T10:15:14-0700, -34 m, 11.1240
2024-06-21T10:15:14-0700, -35 m, 11.0810
2024-06-21T10:15:14-0700, -36 m, 11.0360
2024-06-21T10:15:14-0700, -37 m, 10.9850
2024-06-21T10:15:14-0700, -38 m, 10.8980
2024-06-21T10:15:14-0700, -39 m, 10.8300
2024-06-21T10:15:14-0700, -40 m, 10.7800
2024-06-21T10:15:14-0700, -41 m, 10.7390
2024-06-21T10:15:14-0700, -42 m, 10.7290
2024-06-21T10:15:14-0700, -43 m, 10.7230
2024-06-21T10:15:14-0700, -44 m, 10.7070
2024-06-21T10:15:14-0700, -45 m, 10.6900
2024-06-21T10:15:14-0700, -46 m, 10.6700
2024-06-21T10:15:14-0700, -47 m, 10.6610
2024-06-21T10:15:14-0700, -48 m, 10.6580
2024-06-21T10:15:14-0700, -49 m, 10.6590
2024-06-21T10:15:14-0700, -50 m, 10.6530
2024-06-21T10:15:14-0700, -51 m, 10.6290
2024-06-21T10:15:14-0700, -52 m, 10.6280
2024-06-21T10:15:14-0700, -53 m, 10.6330
2024-06-21T10:15:14-0700, -54 m, 10.6290
2024-06-21T10:15:14-0700, -55 m, 10.6270
2024-06-21T10:15:14-0700, -56 m, 10.6160
2024-06-21T10:15:14-0700, -57 m, 10.6110
2024-06-21T10:15:14-0700, -58 m, 10.6060
2024-06-21T10:15:14-0700, -59 m, 10.6030
